ID,Se_Ini,THETAs,THETAr,SIGMA,Hkg[mm],Ks[mm/s],Hvg[mm],N[-],Km,RingDiameter[mm]
1,0,0.48,0,0.75,106,0.463888889,99.531,2.8,1,50
2,0,0.48,0,1.11,260,0.437865342,179.848,2.105,1,50
3,0,0.48,0,1.46,699,0.410996433,333.629,1.723,1,50
4,0,0.48,0,1.82,2030,0.384051016,580.018,1.494,1,50
5,0,0.48,0,2.18,6292,0.35752443,890.255,1.348,1,50
6,0,0.48,0,2.53,20661,0.331749513,1181.293,1.253,1,50
7,0,0.48,0,2.89,71458,0.306951398,1164.985,1.187,1,50
8,0,0.48,0,3.24,259095,0.283279207,995.179,1.143,1,50
9,0,0.48,0,3.6,981257,0.260826387,698.464,1.11,1,50
10,0.2,0.48,0,0.75,106,0.463888889,99.531,2.8,1,50
11,0.2,0.48,0,1.11,260,0.437865342,179.847,2.105,1,50
12,0.2,0.48,0,1.46,699,0.410996433,333.636,1.723,1,50
13,0.2,0.48,0,1.82,2030,0.384051016,580.014,1.494,1,50
14,0.2,0.48,0,2.18,6292,0.35752443,890.265,1.348,1,50
15,0.2,0.48,0,2.53,20661,0.331749513,1181.286,1.253,1,50
16,0.2,0.48,0,2.89,71458,0.306951398,1164.999,1.187,1,50
17,0.2,0.48,0,3.24,259095,0.283279207,995.161,1.143,1,50
18,0.2,0.48,0,3.6,981257,0.260826387,698.464,1.11,1,50
19,0.4,0.48,0,0.75,106,0.463888889,99.531,2.8,1,50
20,0.4,0.48,0,1.11,260,0.437865342,179.847,2.105,1,50
21,0.4,0.48,0,1.46,699,0.410996433,333.632,1.723,1,50
22,0.4,0.48,0,1.82,2030,0.384051016,580.022,1.494,1,50
23,0.4,0.48,0,2.18,6292,0.35752443,890.264,1.348,1,50
24,0.4,0.48,0,2.53,20661,0.331749513,1181.28,1.253,1,50
25,0.4,0.48,0,2.89,71458,0.306951398,1164.994,1.187,1,50
26,0.4,0.48,0,3.24,259095,0.283279207,995.164,1.143,1,50
27,0.4,0.48,0,3.6,981257,0.260826387,698.464,1.11,1,50
28,0.6,0.48,0,0.75,106,0.463888889,99.531,2.8,1,50
29,0.6,0.48,0,1.11,260,0.437865342,179.847,2.105,1,50
30,0.6,0.48,0,1.46,699,0.410996433,333.631,1.723,1,50
31,0.6,0.48,0,1.82,2030,0.384051016,580.016,1.494,1,50
32,0.6,0.48,0,2.18,6292,0.35752443,890.264,1.348,1,50
33,0.6,0.48,0,2.53,20661,0.331749513,1181.281,1.253,1,50
34,0.6,0.48,0,2.89,71458,0.306951398,1164.994,1.187,1,50
35,0.6,0.48,0,3.24,259095,0.283279207,995.161,1.143,1,50
36,0.6,0.48,0,3.6,981257,0.260826387,698.464,1.11,1,50
37,0.8,0.48,0,0.75,106,0.463888889,99.531,2.8,1,50
38,0.8,0.48,0,1.11,260,0.437865342,179.847,2.105,1,50
39,0.8,0.48,0,1.46,699,0.410996433,333.631,1.723,1,50
40,0.8,0.48,0,1.82,2030,0.384051016,580.022,1.494,1,50
41,0.8,0.48,0,2.18,6292,0.35752443,890.117,1.348,1,50
42,0.8,0.48,0,2.53,20661,0.331749513,1181.266,1.253,1,50
43,0.8,0.48,0,2.89,71458,0.306951398,1165,1.187,1,50
44,0.8,0.48,0,3.24,259095,0.283279207,995.173,1.143,1,50
45,0.8,0.48,0,3.6,981257,0.260826387,698.464,1.11,1,50
