ID,T[s],Infiltration[mm]
1,6.0,8.413336533
1,12.0,13.39670211
1,18.0,17.7412659
1,24.0,21.79357093
1,30.0,25.65755579
1,36.0,29.38795369
1,42.0,33.02706733
1,48.0,36.59614115
1,54.0,40.10972367
1,60.0,43.57751075
1,66.0,47.00746685
1,72.0,50.40523722
1,78.0,53.77611294
1,84.0,57.12384423
1,90.0,60.45133872
1,96.0,63.76146759
1,102.0,67.05650693
1,108.0,70.33816207
1,114.0,73.60811532
1,120.0,76.86774413
1,240.0,140.7397084
1,360.0,203.5485968
1,480.0,265.9882413
1,600.0,328.2496489
1,720.0,390.4219326
1,840.0,452.543287
1,960.0,514.6264465
1,1080.0,576.6841422
1,1200.0,638.7291043
1,1320.0,700.7613354
1,1440.0,762.7935649
1,1560.0,824.8003294
1,1680.0,886.8198276
1,1800.0,948.8265938
1,1920.0,1010.820627
1,2040.0,1072.827393
1,2160.0,1134.821426
1,2280.0,1196.815459
1,2400.0,1258.806393
2,9.0,14.00677837
2,18.0,21.81687905
2,27.0,28.71375906
2,36.0,35.16728984
2,45.0,41.33955002
2,54.0,47.31292081
2,63.0,53.14411133
2,72.0,58.86758339
2,81.0,64.50345881
2,90.0,70.06718026
2,99.0,75.57116496
2,108.0,81.02504238
2,117.0,86.43200122
2,126.0,91.79620232
2,135.0,97.12950118
2,144.0,102.4348934
2,153.0,107.7138087
2,162.0,112.9677923
2,171.0,118.1989476
2,180.0,123.409546
2,360.0,225.0208972
2,540.0,324.2786549
2,720.0,422.4875467
2,900.0,520.1002607
2,1080.0,617.3186333
2,1260.0,714.2803072
2,1440.0,811.0420199
2,1620.0,907.6659173
2,1800.0,1004.166986
2,1980.0,1100.594666
2,2160.0,1196.948181
2,2340.0,1293.211459
2,2520.0,1389.563838
2,2700.0,1485.775036
2,2880.0,1581.950328
2,3060.0,1678.14572
2,3240.0,1774.209533
2,3420.0,1870.290215
2,3600.0,1966.465485
3,15.0,22.31517458
3,30.0,34.84680698
3,45.0,46.0390876
3,60.0,56.56376199
3,75.0,66.67540565
3,90.0,76.49647519
3,105.0,86.10084014
3,120.0,95.53975214
3,135.0,104.8406389
3,150.0,114.025299
3,165.0,123.1130355
3,180.0,132.1193748
3,195.0,141.0553724
3,210.0,149.9313395
3,225.0,158.7532321
3,240.0,167.5246812
3,255.0,176.2493738
3,270.0,184.9315216
3,285.0,193.5755524
3,300.0,202.1858945
3,600.0,369.8713998
3,900.0,533.0242567
3,1200.0,693.9744344
3,1500.0,853.5877219
3,1800.0,1012.297017
3,2100.0,1170.344233
3,2400.0,1327.818472
3,2700.0,1484.93623
3,3000.0,1641.799341
3,3300.0,1798.280484
3,3600.0,1954.634286
3,3900.0,2110.733458
3,4200.0,2266.577974
3,4500.0,2422.295166
3,4800.0,2578.012353
3,5100.0,2733.474911
3,5400.0,2888.937452
3,5700.0,3044.145353
3,6000.0,3199.477472
4,21.8,30.16085049
4,43.5,47.06231853
4,65.3,62.19615279
4,87.0,76.45336766
4,108.8,90.15423325
4,130.5,103.4690956
4,152.3,116.4852185
4,174.0,129.275457
4,195.8,141.8828125
4,217.5,154.3275906
4,239.3,166.6350535
4,261.0,178.8318887
4,282.8,190.9333085
4,304.5,202.9474794
4,326.3,214.8822774
4,348.0,226.7451014
4,369.8,238.543268
4,391.5,250.28307
4,413.3,261.9687848
4,435.0,273.6044543
4,870.0,499.6425255
4,1305.0,718.7797191
4,1740.0,934.3773336
4,2175.0,1147.746791
4,2610.0,1359.524705
4,3045.0,1570.118513
4,3480.0,1779.821059
4,3915.0,1988.759656
4,4350.0,2196.934311
4,4785.0,2404.726997
4,5220.0,2612.010394
4,5655.0,2818.911807
4,6090.0,3025.431263
4,6525.0,3231.568738
4,6960.0,3437.578884
4,7395.0,3643.207079
4,7830.0,3848.580612
4,8265.0,4053.82682
4,8700.0,4258.815561
5,27.0,34.30441755
5,54.0,52.87223126
5,81.0,69.40892501
5,108.0,84.91406318
5,135.0,99.77113571
5,162.0,114.1798711
5,189.0,128.2505002
5,216.0,142.0417644
5,243.0,155.610116
5,270.0,169.0002706
5,297.0,182.2391819
5,324.0,195.3458873
5,351.0,208.3315216
5,378.0,221.2078227
5,405.0,233.9897969
5,432.0,246.6928533
5,459.0,259.3254657
5,486.0,271.8879731
5,513.0,284.3803327
5,540.0,296.8079568
5,1080.0,537.4118924
5,1620.0,769.5615945
5,2160.0,997.2931814
