ID,T[s],Infiltration[mm],Texture
3,29.64,8.62,Sand
3,30.78,8.84,Sand
3,31.92,9.06,Sand
3,33,9.28,Sand
3,34.14,9.49,Sand
3,35.28,9.71,Sand
3,36.36,9.92,Sand
3,37.86,10.2,Sand
3,39.3,10.5,Sand
3,40.74,10.7,Sand
3,42.24,11,Sand
3,43.68,11.3,Sand
3,45.12,11.5,Sand
3,46.62,11.8,Sand
3,48.06,12.1,Sand
3,49.5,12.3,Sand
3,51,12.6,Sand
3,52.86,12.9,Sand
3,54.78,13.2,Sand
3,56.7,13.6,Sand
3,58.56,13.9,Sand
3,60.6,14.2,Sand
3,62.4,14.5,Sand
3,64.2,14.9,Sand
3,66,15.2,Sand
3,67.8,15.5,Sand
3,70.2,15.8,Sand
3,72,16.1,Sand
3,73.8,16.5,Sand
3,75.6,16.8,Sand
3,77.4,17.1,Sand
3,79.8,17.5,Sand
3,82.2,17.9,Sand
3,85.2,18.3,Sand
3,87.6,18.7,Sand
3,90,19.1,Sand
3,92.4,19.5,Sand
3,94.8,19.9,Sand
3,97.2,20.3,Sand
3,99.6,20.7,Sand
3,102.6,21.1,Sand
3,105,21.5,Sand
3,107.4,21.9,Sand
3,109.8,22.3,Sand
3,112.2,22.7,Sand
3,115.2,23.1,Sand
3,117.6,23.5,Sand
3,120,23.9,Sand
3,123,24.4,Sand
3,126.6,24.9,Sand
3,129.6,25.4,Sand
3,132.6,25.9,Sand
3,136.2,26.4,Sand
3,139.2,26.9,Sand
3,142.2,27.4,Sand
3,145.8,27.9,Sand
3,148.8,28.4,Sand
3,151.8,28.9,Sand
3,155.4,29.3,Sand
3,158.4,29.8,Sand
3,162.6,30.5,Sand
3,166.8,31.1,Sand
3,171,31.7,Sand
3,175.2,32.4,Sand
3,179.4,33,Sand
3,183.6,33.6,Sand
3,187.8,34.3,Sand
3,192,34.9,Sand
3,196.2,35.5,Sand
3,200.4,36.2,Sand
3,204,36.8,Sand
3,208.2,37.4,Sand
3,212.4,38,Sand
3,217.8,38.8,Sand
3,223.2,39.6,Sand
3,228.6,40.5,Sand
3,234.6,41.3,Sand
3,240,42.1,Sand
3,245.4,42.9,Sand
3,250.8,43.7,Sand
3,256.2,44.5,Sand
3,261.6,45.3,Sand
3,267,46.1,Sand
3,272.4,47,Sand
3,277.8,47.8,Sand
3,283.2,48.6,Sand
3,288.6,49.4,Sand
3,294,50.2,Sand
3,301.8,51.2,Sand
3,309,52.3,Sand
3,316.2,53.4,Sand
3,323.4,54.5,Sand
3,330.6,55.6,Sand
3,337.8,56.6,Sand
3,345.6,57.7,Sand
3,352.8,58.8,Sand
3,360,59.9,Sand
3,367.2,60.9,Sand
3,373.8,61.9,Sand
3,381,63,Sand
3,388.2,64,Sand
3,395.4,65,Sand
3,402,66.1,Sand
3,412.2,67.5,Sand
3,421.8,68.9,Sand
3,431.4,70.3,Sand
3,441,71.8,Sand
3,450.6,73.2,Sand
3,460.8,74.6,Sand
3,470.4,76,Sand
3,480,77.4,Sand
3,489,78.8,Sand
3,498.6,80.1,Sand
3,507.6,81.4,Sand
3,516.6,82.8,Sand
3,526.2,84.1,Sand
3,535.2,85.5,Sand
3,544.2,86.9,Sand
3,553.8,88.2,Sand
3,562.8,89.5,Sand
3,572.4,90.9,Sand
3,586.2,92.9,Sand
3,600,94.9,Sand
3,612,96.7,Sand
3,624,98.4,Sand
3,636,100,Sand
3,648,102,Sand
3,660,104,Sand
3,672,105,Sand
3,684,107,Sand
3,696,109,Sand
3,708,111,Sand
3,720,112,Sand
3,732,114,Sand
3,744,116,Sand
3,756,118,Sand
3,768,119,Sand
3,780,121,Sand
3,798,123,Sand
3,810,126,Sand
3,828,128,Sand
3,840,130,Sand
3,858,132,Sand
3,870,134,Sand
3,888,136,Sand
3,900,139,Sand
3,918,141,Sand
3,930,143,Sand
3,948,145,Sand
3,960,147,Sand
3,978,149,Sand
3,990,152,Sand
3,1008,154,Sand
3,1020,156,Sand
3,1038,159,Sand
3,1062,162,Sand
3,1080,165,Sand
3,1098,168,Sand
3,1122,171,Sand
3,1140,173,Sand
3,1158,176,Sand
3,1182,179,Sand
3,1200,182,Sand
3,1218,185,Sand
3,1242,188,Sand
3,1260,191,Sand
3,1278,194,Sand
3,1302,197,Sand
3,1320,200,Sand
3,1338,203,Sand
3,1362,205,Sand
3,1380,208,Sand
3,1398,211,Sand
3,1422,214,Sand
3,1440,217,Sand
3,1458,220,Sand
3,1482,223,Sand
3,1500,226,Sand
3,1518,229,Sand
3,1542,232,Sand
3,1560,234,Sand
3,1578,237,Sand
3,1602,240,Sand
3,1620,243,Sand
3,1638,246,Sand
3,1662,249,Sand
3,1680,252,Sand
3,1704,255,Sand
3,1728,259,Sand
3,1752,262,Sand
3,1776,266,Sand
3,1800,269,Sand
3,1830,274,Sand
3,1860,278,Sand
3,1890,282,Sand
3,1920,287,Sand
3,1950,291,Sand
3,1980,295,Sand
3,2040,304,Sand
3,2082,310,Sand
3,2118,316,Sand
3,2160,322,Sand
3,2220,330,Sand
3,2280,339,Sand
3,2340,348,Sand
3,2400,356,Sand
3,2460,365,Sand
3,2520,374,Sand
3,2580,383,Sand
3,2640,391,Sand
3,2760,409,Sand
3,2880,426,Sand
3,3000,444,Sand
3,3120,461,Sand
3,3240,478,Sand
3,3360,496,Sand
3,3420,505,Sand
3,3480,513,Sand
3,3522,519,Sand
3,3558,525,Sand
3,3600,531,Sand
3,3642,537,Sand
3,3678,542,Sand
3,3720,548,Sand
3,3762,554,Sand
3,3798,560,Sand
3,3840,566,Sand
3,3882,571,Sand
3,3960,583,Sand
3,4080,600,Sand
3,4200,618,Sand
3,4320,635,Sand
3,4440,653,Sand
3,4560,670,Sand
3,4680,688,Sand
3,4800,705,Sand
3,4920,722,Sand
3,5040,740,Sand
3,5160,757,Sand
3,5280,775,Sand
3,5400,792,Sand
3,5520,810,Sand
3,5640,827,Sand
3,5760,844,Sand
3,5880,862,Sand
3,6000,879,Sand
4,0.96,1.1,Sand
4,1.82,1.73,Sand
4,2.69,2.23,Sand
4,3.55,2.66,Sand
4,4.42,3.05,Sand
4,5.28,3.4,Sand
4,6.12,3.73,Sand
4,7.02,4.05,Sand
4,7.86,4.35,Sand
4,8.76,4.64,Sand
4,9.6,4.92,Sand
4,10.44,5.18,Sand
4,11.34,5.45,Sand
4,12.18,5.7,Sand
4,13.08,5.95,Sand
4,13.92,6.19,Sand
4,14.76,6.43,Sand
4,15.66,6.66,Sand
4,16.5,6.89,Sand
4,17.4,7.11,Sand
4,18.24,7.34,Sand
4,19.08,7.55,Sand
4,19.98,7.77,Sand
4,20.82,7.98,Sand
4,21.72,8.19,Sand
4,22.56,8.4,Sand
4,23.4,8.6,Sand
4,24.3,8.8,Sand
4,25.14,9.01,Sand
4,26.04,9.2,Sand
4,26.88,9.4,Sand
4,27.72,9.6,Sand
4,28.62,9.79,Sand
4,29.46,9.98,Sand
4,30.36,10.2,Sand
4,31.2,10.4,Sand
4,32.04,10.5,Sand
4,32.94,10.7,Sand
4,33.78,10.9,Sand
4,34.68,11.1,Sand
4,35.52,11.3,Sand
4,36.36,11.5,Sand
4,37.26,11.6,Sand
4,38.1,11.8,Sand
4,39,12,Sand
4,39.9,12.2,Sand
4,40.8,12.4,Sand
4,41.7,12.5,Sand
4,42.6,12.7,Sand
4,43.5,12.9,Sand
4,44.4,13.1,Sand
4,45.3,13.3,Sand
4,46.2,13.4,Sand
4,47.1,13.6,Sand
4,48,13.8,Sand
4,48.84,14,Sand
4,49.74,14.1,Sand
4,50.58,14.3,Sand
4,51.48,14.5,Sand
4,52.32,14.6,Sand
4,53.16,14.8,Sand
4,54.06,15,Sand
4,54.9,15.1,Sand
4,55.8,15.3,Sand
4,56.64,15.5,Sand
4,57.48,15.6,Sand
4,58.38,15.8,Sand
4,59.22,15.9,Sand
4,60,16.1,Sand
4,61.2,16.3,Sand
4,61.8,16.4,Sand
4,62.4,16.6,Sand
4,63.6,16.7,Sand
4,64.2,16.9,Sand
4,65.4,17.1,Sand
4,66,17.2,Sand
4,67.2,17.4,Sand
4,67.8,17.5,Sand
4,69,17.7,Sand
4,69.6,17.8,Sand
4,70.2,18,Sand
4,71.4,18.1,Sand
4,72,18.3,Sand
4,73.2,18.5,Sand
4,73.8,18.6,Sand
4,75,18.8,Sand
4,75.6,18.9,Sand
4,76.8,19.1,Sand
4,77.4,19.2,Sand
4,78,19.4,Sand
4,79.2,19.5,Sand
4,79.8,19.7,Sand
4,81,19.8,Sand
4,81.6,20,Sand
4,82.8,20.1,Sand
4,83.4,20.3,Sand
4,84,20.4,Sand
4,85.2,20.6,Sand
4,85.8,20.7,Sand
4,87,20.9,Sand
4,87.6,21,Sand
4,88.8,21.2,Sand
4,89.4,21.3,Sand
4,90,21.5,Sand
4,91.2,21.6,Sand
4,91.8,21.7,Sand
4,93,21.9,Sand
4,93.6,22,Sand
4,94.2,22.2,Sand
4,95.4,22.3,Sand
4,96,22.5,Sand
4,96.6,22.6,Sand
4,97.8,22.7,Sand
4,98.4,22.9,Sand
4,99.6,23,Sand
4,100.2,23.2,Sand
4,101.4,23.3,Sand
4,102,23.5,Sand
4,103.2,23.6,Sand
4,103.8,23.8,Sand
4,104.4,23.9,Sand
4,105.6,24.1,Sand
4,106.8,24.2,Sand
4,108,24.4,Sand
4,108.6,24.6,Sand
4,109.8,24.8,Sand
4,111,25,Sand
4,112.2,25.2,Sand
4,113.4,25.4,Sand
4,114.6,25.6,Sand
4,115.8,25.7,Sand
4,117,25.9,Sand
4,117.6,26.1,Sand
4,118.8,26.3,Sand
4,120,26.5,Sand
4,121.2,26.7,Sand
4,122.4,26.9,Sand
4,123.6,27,Sand
4,124.8,27.2,Sand
4,126,27.4,Sand
4,126.6,27.6,Sand
4,127.8,27.8,Sand
4,129,28,Sand
4,130.2,28.1,Sand
4,131.4,28.3,Sand
4,132.6,28.5,Sand
4,133.8,28.7,Sand
4,135,28.9,Sand
4,136.2,29.1,Sand
4,136.8,29.3,Sand
4,138,29.4,Sand
4,139.2,29.6,Sand
4,140.4,29.8,Sand
4,141.6,30,Sand
4,142.8,30.2,Sand
4,144,30.4,Sand
4,145.2,30.6,Sand
4,146.4,30.8,Sand
4,148.2,31,Sand
4,149.4,31.3,Sand
4,151.2,31.5,Sand
4,152.4,31.7,Sand
4,153.6,32,Sand
4,155.4,32.2,Sand
4,156.6,32.4,Sand
4,158.4,32.7,Sand
4,159.6,32.9,Sand
4,161.4,33.1,Sand
4,162.6,33.3,Sand
4,164.4,33.6,Sand
4,165.6,33.8,Sand
4,166.8,34,Sand
4,168.6,34.3,Sand
4,169.8,34.5,Sand
4,171.6,34.7,Sand
4,172.8,35,Sand
4,174.6,35.2,Sand
4,175.8,35.4,Sand
4,177,35.7,Sand
4,178.8,35.9,Sand
4,180,36.1,Sand
4,181.8,36.3,Sand
4,183,36.6,Sand
4,184.8,36.8,Sand
4,186,37,Sand
4,187.8,37.3,Sand
4,189,37.5,Sand
4,190.8,37.7,Sand
4,192,38,Sand
4,193.2,38.2,Sand
4,195,38.4,Sand
4,196.2,38.6,Sand
4,198,38.9,Sand
4,199.2,39.1,Sand
4,201,39.3,Sand
4,202.2,39.6,Sand
4,203.4,39.8,Sand
4,205.2,40,Sand
4,206.4,40.2,Sand
4,208.2,40.5,Sand
4,209.4,40.7,Sand
4,211.2,40.9,Sand
4,212.4,41.1,Sand
4,214.2,41.4,Sand
4,215.4,41.6,Sand
4,216.6,41.8,Sand
4,218.4,42,Sand
4,219.6,42.3,Sand
4,221.4,42.5,Sand
4,222.6,42.7,Sand
4,224.4,42.9,Sand
4,225.6,43.2,Sand
4,226.8,43.4,Sand
4,228.6,43.6,Sand
4,229.8,43.8,Sand
4,231.6,44,Sand
4,232.8,44.3,Sand
4,234,44.5,Sand
4,235.8,44.7,Sand
4,237,44.9,Sand
4,238.8,45.2,Sand
4,240,45.4,Sand
4,241.2,45.6,Sand
4,243,45.8,Sand
4,244.2,46,Sand
4,246,46.3,Sand
4,247.2,46.5,Sand
4,249,46.7,Sand
4,250.2,46.9,Sand
4,251.4,47.2,Sand
4,253.2,47.4,Sand
4,255,47.7,Sand
4,256.8,48,Sand
4,258.6,48.2,Sand
4,261,48.5,Sand
4,262.8,48.8,Sand
4,264.6,49.1,Sand
4,266.4,49.4,Sand
4,268.2,49.7,Sand
4,270,50,Sand
4,272.4,50.3,Sand
4,274.2,50.6,Sand
4,276,50.9,Sand
4,278.4,51.2,Sand
4,280.2,51.5,Sand
4,282,51.8,Sand
4,283.8,52.1,Sand
4,286.2,52.4,Sand
4,288,52.7,Sand
4,289.8,53,Sand
4,291.6,53.2,Sand
4,293.4,53.5,Sand
4,295.8,53.8,Sand
4,297.6,54.1,Sand
4,299.4,54.4,Sand
4,301.2,54.7,Sand
4,303,55,Sand
4,304.8,55.2,Sand
4,307.2,55.5,Sand
4,309,55.8,Sand
4,310.8,56.1,Sand
4,312.6,56.4,Sand
4,314.4,56.7,Sand
4,316.2,57,Sand
4,318.6,57.3,Sand
4,320.4,57.5,Sand
4,322.2,57.8,Sand
4,324,58.1,Sand
4,326.4,58.4,Sand
4,328.2,58.7,Sand
4,330,59,Sand
4,331.8,59.3,Sand
4,334.2,59.6,Sand
4,336,59.9,Sand
4,337.8,60.2,Sand
4,339.6,60.5,Sand
4,341.4,60.7,Sand
4,343.8,61,Sand
4,345.6,61.3,Sand
4,347.4,61.6,Sand
4,349.2,61.9,Sand
4,351,62.2,Sand
4,352.8,62.4,Sand
4,355.2,62.7,Sand
4,357,63,Sand
4,358.8,63.3,Sand
4,360.6,63.6,Sand
4,362.4,63.9,Sand
4,364.2,64.1,Sand
4,366.6,64.4,Sand
4,368.4,64.7,Sand
4,370.2,65,Sand
4,372,65.3,Sand
4,374.4,65.6,Sand
4,376.2,65.9,Sand
4,378,66.2,Sand
4,379.8,66.5,Sand
4,382.2,66.8,Sand
4,384,67.1,Sand
4,385.8,67.3,Sand
4,388.2,67.7,Sand
4,390.6,68.1,Sand
4,393.6,68.4,Sand
4,396,68.8,Sand
4,398.4,69.2,Sand
4,400.8,69.5,Sand
4,403.2,69.9,Sand
4,405.6,70.3,Sand
4,408,70.6,Sand
4,410.4,71,Sand
4,412.8,71.3,Sand
4,415.2,71.7,Sand
4,417.6,72.1,Sand
4,420,72.4,Sand
4,422.4,72.8,Sand
4,424.8,73.1,Sand
4,427.2,73.5,Sand
4,429.6,73.8,Sand
4,432,74.2,Sand
4,434.4,74.6,Sand
4,436.8,74.9,Sand
4,439.2,75.3,Sand
4,441.6,75.6,Sand
4,444.6,76,Sand
4,447,76.4,Sand
4,449.4,76.7,Sand
4,451.8,77.1,Sand
4,454.2,77.5,Sand
4,456.6,77.9,Sand
4,459.6,78.2,Sand
4,462,78.6,Sand
4,464.4,79,Sand
4,467.4,79.4,Sand
4,469.8,79.8,Sand
4,472.2,80.1,Sand
4,474.6,80.5,Sand
4,477.6,80.9,Sand
4,480,81.3,Sand
4,482.4,81.6,Sand
4,484.8,82,Sand
4,487.2,82.4,Sand
4,489.6,82.7,Sand
4,492.6,83.1,Sand
4,495,83.5,Sand
4,497.4,83.8,Sand
4,499.8,84.2,Sand
4,502.2,84.6,Sand
4,504.6,84.9,Sand
4,507.6,85.3,Sand
4,510,85.7,Sand
4,512.4,86.1,Sand
4,515.4,86.5,Sand
4,517.8,86.8,Sand
4,520.2,87.2,Sand
4,522.6,87.6,Sand
4,525.6,88,Sand
4,528,88.4,Sand
4,530.4,88.7,Sand
4,532.8,89.1,Sand
4,535.2,89.5,Sand
4,537.6,89.8,Sand
4,540.6,90.2,Sand
4,543,90.5,Sand
4,545.4,90.9,Sand
4,547.8,91.3,Sand
4,550.2,91.6,Sand
4,552.6,92,Sand
4,555.6,92.4,Sand
4,558,92.8,Sand
4,560.4,93.2,Sand
4,563.4,93.5,Sand
4,565.8,93.9,Sand
4,568.2,94.3,Sand
4,570.6,94.7,Sand
4,573.6,95,Sand
4,576,95.4,Sand
4,578.4,95.8,Sand
4,580.8,96.1,Sand
4,583.2,96.5,Sand
4,585.6,96.9,Sand
4,588.6,97.2,Sand
4,591,97.6,Sand
4,593.4,98,Sand
4,595.8,98.3,Sand
4,598.2,98.7,Sand
4,600,99.1,Sand
4,606,99.4,Sand
4,606,99.8,Sand
4,606,100,Sand
4,612,101,Sand
4,612,101,Sand
4,618,101,Sand
4,618,102,Sand
4,624,102,Sand
4,624,102,Sand
4,624,103,Sand
4,630,103,Sand
4,630,104,Sand
4,636,104,Sand
4,636,104,Sand
4,636,105,Sand
4,642,105,Sand
4,642,105,Sand
4,648,106,Sand
4,648,106,Sand
4,654,106,Sand
4,654,107,Sand
4,660,107,Sand
4,660,108,Sand
4,666,108,Sand
4,666,109,Sand
4,672,110,Sand
4,678,110,Sand
4,678,110,Sand
4,684,111,Sand
4,684,111,Sand
4,690,112,Sand
4,690,112,Sand
4,696,113,Sand
4,696,113,Sand
4,702,114,Sand
4,702,114,Sand
4,708,115,Sand
4,708,115,Sand
4,714,116,Sand
4,714,116,Sand
4,720,117,Sand
4,726,117,Sand
4,726,117,Sand
4,732,118,Sand
4,732,118,Sand
4,738,119,Sand
4,738,119,Sand
4,744,120,Sand
4,744,120,Sand
4,750,121,Sand
4,750,121,Sand
4,756,122,Sand
4,756,122,Sand
4,762,123,Sand
4,762,123,Sand
4,768,124,Sand
4,774,124,Sand
4,774,124,Sand
4,780,125,Sand
4,780,125,Sand
4,786,126,Sand
4,786,126,Sand
4,792,127,Sand
4,792,127,Sand
4,798,128,Sand
4,798,128,Sand
4,804,129,Sand
4,804,129,Sand
4,810,130,Sand
4,810,130,Sand
4,816,131,Sand
4,822,131,Sand
4,822,132,Sand
4,828,132,Sand
4,828,132,Sand
4,834,133,Sand
4,834,133,Sand
4,840,134,Sand
4,840,134,Sand
4,846,135,Sand
4,846,135,Sand
4,852,136,Sand
4,858,136,Sand
4,858,137,Sand
4,864,138,Sand
4,870,138,Sand
4,870,139,Sand
4,876,139,Sand
4,882,140,Sand
4,882,141,Sand
4,888,141,Sand
4,894,142,Sand
4,894,142,Sand
4,900,143,Sand
4,906,143,Sand
4,906,144,Sand
4,912,145,Sand
4,918,145,Sand
4,918,146,Sand
4,924,146,Sand
4,930,147,Sand
4,930,148,Sand
4,936,148,Sand
4,942,149,Sand
4,942,149,Sand
4,948,150,Sand
4,954,150,Sand
4,954,151,Sand
4,960,152,Sand
4,966,152,Sand
4,966,153,Sand
4,972,153,Sand
4,978,154,Sand
4,978,155,Sand
4,984,155,Sand
4,990,156,Sand
4,996,156,Sand
4,996,157,Sand
4,1002,158,Sand
4,1008,159,Sand
4,1014,159,Sand
4,1020,160,Sand
4,1026,161,Sand
4,1032,162,Sand
4,1032,162,Sand
4,1038,163,Sand
4,1044,164,Sand
4,1050,165,Sand
4,1056,166,Sand
4,1062,166,Sand
4,1068,167,Sand
4,1074,168,Sand
4,1080,169,Sand
4,1080,169,Sand
4,1086,170,Sand
4,1092,171,Sand
4,1098,172,Sand
4,1104,173,Sand
4,1110,173,Sand
4,1116,174,Sand
4,1122,175,Sand
4,1128,176,Sand
4,1128,176,Sand
4,1134,177,Sand
4,1140,178,Sand
4,1146,179,Sand
4,1152,180,Sand
4,1158,180,Sand
4,1164,181,Sand
4,1170,182,Sand
4,1176,183,Sand
4,1176,183,Sand
4,1182,184,Sand
4,1188,185,Sand
4,1194,186,Sand
4,1200,187,Sand
4,1206,187,Sand
4,1212,188,Sand
4,1218,189,Sand
4,1224,190,Sand
4,1224,190,Sand
4,1230,191,Sand
4,1236,192,Sand
4,1242,193,Sand
4,1248,194,Sand
4,1254,194,Sand
4,1260,195,Sand
4,1266,196,Sand
4,1272,197,Sand
4,1272,197,Sand
4,1278,198,Sand
4,1284,199,Sand
4,1290,200,Sand
4,1296,201,Sand
4,1302,201,Sand
4,1308,202,Sand
4,1314,203,Sand
4,1320,204,Sand
4,1320,204,Sand
4,1326,205,Sand
4,1332,206,Sand
4,1338,207,Sand
4,1344,207,Sand
4,1350,208,Sand
4,1356,209,Sand
4,1362,210,Sand
4,1368,211,Sand
4,1368,211,Sand
4,1374,212,Sand
4,1380,213,Sand
4,1386,214,Sand
4,1392,214,Sand
4,1398,215,Sand
4,1404,216,Sand
4,1410,217,Sand
4,1416,218,Sand
4,1416,218,Sand
4,1422,219,Sand
4,1428,220,Sand
4,1434,221,Sand
4,1440,221,Sand
4,1446,222,Sand
4,1452,223,Sand
4,1458,224,Sand
4,1464,225,Sand
4,1464,225,Sand
4,1470,226,Sand
4,1476,227,Sand
4,1482,228,Sand
4,1488,228,Sand
4,1494,229,Sand
4,1500,230,Sand
4,1506,231,Sand
4,1512,232,Sand
4,1524,233,Sand
4,1530,234,Sand
4,1536,235,Sand
4,1542,236,Sand
4,1548,237,Sand
4,1554,238,Sand
4,1566,239,Sand
4,1572,240,Sand
4,1578,241,Sand
4,1584,242,Sand
4,1590,243,Sand
4,1596,244,Sand
4,1602,245,Sand
4,1614,246,Sand
4,1620,247,Sand
4,1626,248,Sand
4,1632,249,Sand
4,1638,250,Sand
4,1644,251,Sand
4,1650,252,Sand
4,1662,253,Sand
4,1668,254,Sand
4,1674,255,Sand
4,1680,256,Sand
4,1686,257,Sand
4,1692,258,Sand
4,1698,259,Sand
4,1710,260,Sand
4,1716,261,Sand
4,1722,262,Sand
4,1728,263,Sand
4,1734,264,Sand
4,1740,265,Sand
4,1746,266,Sand
4,1758,267,Sand
4,1764,268,Sand
4,1770,269,Sand
4,1776,270,Sand
4,1782,271,Sand
4,1788,272,Sand
4,1794,273,Sand
4,1806,274,Sand
4,1812,275,Sand
4,1818,276,Sand
4,1824,277,Sand
4,1830,278,Sand
4,1836,279,Sand
4,1842,280,Sand
4,1854,281,Sand
4,1860,282,Sand
4,1866,283,Sand
4,1872,284,Sand
4,1878,285,Sand
4,1884,286,Sand
4,1890,287,Sand
4,1902,288,Sand
4,1908,289,Sand
4,1914,290,Sand
4,1920,291,Sand
4,1926,292,Sand
4,1932,293,Sand
4,1938,294,Sand
4,1950,295,Sand
4,1956,296,Sand
4,1962,297,Sand
4,1968,298,Sand
4,1974,299,Sand
4,1980,300,Sand
4,1986,301,Sand
4,1998,302,Sand
4,2004,304,Sand
4,2016,305,Sand
4,2028,307,Sand
4,2034,308,Sand
4,2046,309,Sand
4,2052,311,Sand
4,2064,312,Sand
4,2076,314,Sand
4,2082,315,Sand
4,2094,316,Sand
4,2100,318,Sand
4,2112,319,Sand
4,2124,321,Sand
4,2130,322,Sand
4,2142,323,Sand
4,2148,325,Sand
4,2160,326,Sand
4,2172,328,Sand
4,2178,329,Sand
4,2190,330,Sand
4,2196,332,Sand
4,2208,333,Sand
4,2220,334,Sand
4,2226,336,Sand
4,2238,337,Sand
4,2244,339,Sand
4,2256,340,Sand
4,2268,341,Sand
4,2274,343,Sand
4,2286,344,Sand
4,2292,346,Sand
4,2304,347,Sand
4,2316,348,Sand
4,2322,350,Sand
4,2334,351,Sand
4,2340,353,Sand
4,2352,354,Sand
4,2364,355,Sand
4,2370,357,Sand
4,2382,358,Sand
4,2388,360,Sand
4,2400,361,Sand
5,0.96,1.17,Sand
5,1.82,1.85,Sand
5,2.69,2.38,Sand
5,3.55,2.83,Sand
5,4.42,3.24,Sand
5,5.28,3.62,Sand
5,6.12,3.97,Sand
5,7.02,4.31,Sand
5,7.86,4.62,Sand
5,8.76,4.93,Sand
5,9.6,5.22,Sand
5,10.44,5.5,Sand
5,11.34,5.78,Sand
5,12.18,6.05,Sand
5,13.08,6.31,Sand
5,13.92,6.56,Sand
5,14.76,6.81,Sand
5,15.66,7.05,Sand
5,16.5,7.29,Sand
5,17.4,7.53,Sand
5,18.24,7.76,Sand
5,19.08,7.99,Sand
5,19.98,8.21,Sand
5,20.82,8.43,Sand
5,21.72,8.65,Sand
5,22.56,8.87,Sand
5,23.4,9.08,Sand
5,24.3,9.29,Sand
5,25.14,9.5,Sand
5,26.04,9.7,Sand
5,26.88,9.91,Sand
5,27.72,10.1,Sand
5,28.62,10.3,Sand
5,29.46,10.5,Sand
5,30.36,10.7,Sand
